1,M,181,2003
2,M,174,2000
3,M,175,2003
4,F,159,2000
5,F,164,2004
6,M,180,2004
7,M,176,2000
8,M,186,2000
9,F,160,2000
10,F,157,2004
11,M,179,2000
12,F,162,2000
13,M,178,2003
14,F,165,2002
15,F,166,2000
16,F,160,2003
17,M,181,2001
18,F,161,2004
19,M,178,2000
20,F,164,2000
21,F,165,2001
22,F,161,2003
23,M,180,2000
24,F,169,2002
25,F,159,2004
26,M,182,2002
27,M,178,2002
28,F,154,2003
29,F,158,2000
30,M,174,2002
31,M,180,2000
32,F,159,2002
33,M,179,2003
34,F,167,2002
35,M,182,2000
36,M,181,2004
37,F,164,2004
38,F,159,2002
39,M,178,2000
40,F,159,2004
41,F,155,2001
42,F,162,2001
43,F,162,2000
44,F,162,2000
45,F,161,2000
46,F,163,2000
47,F,158,2000
48,F,156,2004
49,M,185,2000
50,M,176,2002
51,M,177,2001
52,M,178,2003
53,M,177,2004
54,F,158,2000
55,M,178,2004
56,F,161,2001
57,M,180,2000
58,M,179,2000
59,F,168,2001
60,F,162,2004
61,F,166,2000
62,M,175,2003
63,F,160,2001
64,F,163,2003
65,F,155,2002
66,M,175,2000
67,M,177,2003
68,F,155,2002
69,M,177,2003
70,F,160,2001
71,M,186,2001
72,F,161,2004
73,F,152,2001
74,F,161,2002
75,F,154,2001
76,M,182,2003
77,M,179,2002
78,M,179,2004
79,M,183,2000
80,M,173,2000
81,F,169,2003
82,M,187,2000
83,F,160,2004
84,F,158,2002
85,F,159,2004
86,M,185,2001
87,F,158,2002
88,F,153,2000
89,M,181,2001
90,M,179,2001
91,F,162,2004
92,F,154,2001
93,M,185,2002
94,M,185,2004
95,M,180,2001
96,M,179,2003
97,F,165,2001
98,F,158,2003
99,F,154,2003
100,F,155,2003
101,F,162,2003
102,M,179,2004
103,M,176,2004
104,M,179,2002
105,M,181,2000
106,M,185,2000
107,F,159,2003
108,M,181,2000
109,F,160,2000
110,M,183,2000
111,F,159,2001
112,F,158,2003
113,F,163,2002
114,M,179,2000
115,M,179,2000
116,F,153,2004
117,F,169,2002
118,F,157,2002
119,M,177,2002
120,M,180,2000
121,F,161,2004
122,F,158,2000
123,F,159,2003
124,M,177,2003
125,F,163,2001
126,M,175,2004
127,F,162,2001
128,F,156,2002
129,F,156,2001
130,M,178,2002
131,F,154,2001
132,M,172,2003
133,F,161,2003
134,F,158,2000
135,M,183,2003
136,F,165,2002
137,M,185,2001
138,M,181,2001
139,F,155,2004
140,F,155,2001
141,F,161,2001
142,F,157,2000
143,F,166,2004
144,M,184,2004
145,M,171,2004
146,F,159,2002
147,F,156,2004
148,M,183,2002
149,M,176,2000
150,F,155,2002
151,M,177,2002
152,M,183,2004
153,F,162,2000
154,F,155,2004
155,F,157,2003
156,F,167,2001
157,M,176,2001
158,F,163,2000
159,M,178,2003
160,F,161,2004
161,M,181,2000
162,M,182,2001
163,M,184,2000
164,M,183,2002
165,F,153,2004
166,M,179,2001
167,M,184,2001
168,F,161,2003
169,M,173,2001
170,M,180,2003
171,M,171,2000
172,F,159,2002
173,F,160,2000
174,M,181,2004
175,M,176,2001
176,M,178,2003
177,F,166,2002
178,F,159,2002
179,F,160,2001
180,M,184,2003
181,M,178,2000
182,M,180,2002
183,M,180,2003
184,M,178,2003
185,F,154,2003
186,F,158,2002
187,M,176,2000
188,F,160,2004
189,F,160,2000
190,F,163,2000
191,M,178,2001
192,M,182,2002
193,M,188,2004
194,F,164,2003
195,M,178,2003
196,M,176,2002
197,M,176,2003
198,M,175,2000
199,F,163,2002
200,M,182,2004
201,F,158,2004
202,F,158,2004
203,F,157,2003
204,F,162,2000
205,F,163,2000
206,M,185,2000
207,F,164,2001
208,M,178,2003
209,F,164,2002
210,F,154,2001
211,M,179,2000
212,F,158,2002
213,M,184,2000
214,M,182,2003
215,F,158,2003
216,F,159,2001
217,M,173,2001
218,F,158,2004
219,F,163,2002
220,F,160,2004
221,M,181,2002
222,M,180,2000
223,M,175,2000
224,F,160,2001
225,F,162,2002
226,M,179,2000
227,F,157,2003
228,F,154,2001
229,F,161,2003
230,F,159,2003
231,M,181,2003
232,F,158,2000
233,F,162,2001
234,M,180,2002
235,F,166,2000
236,M,185,2004
237,M,171,2000
238,M,180,2004
239,M,183,2000
240,F,157,2002
241,F,159,2001
242,M,177,2003
243,M,184,2004
244,F,160,2000
245,F,163,2002
246,M,182,2000
247,F,159,2004
248,M,173,2001
249,F,150,2001
250,F,158,2001
251,F,165,2001
252,F,158,2001
253,M,176,2004
254,F,158,2003
255,F,166,2002
256,F,150,2002
257,M,183,2001
258,M,181,2003
259,F,168,2004
260,F,161,2000
261,M,175,2002
262,M,183,2003
263,M,178,2003
264,F,159,2002
265,F,164,2003
266,F,163,2004
267,M,182,2004
268,M,176,2003
269,F,162,2000
270,M,174,2003
271,F,163,2002
272,M,178,2003
273,F,161,2001
274,M,178,2003
275,M,176,2002
276,M,177,2004
277,M,180,2004
278,M,178,2003
279,F,159,2003
280,M,186,2002
281,F,156,2000
282,F,162,2004
283,M,175,2002
284,M,182,2003
285,M,171,2000
286,F,165,2002
287,F,159,2001
288,F,156,2004
289,F,156,2002
290,F,165,2001
291,F,163,2003
292,F,161,2004
293,M,181,2001
294,M,177,2001
295,F,166,2000
296,M,173,2004
297,M,186,2004
298,F,156,2000
299,M,176,2002
300,F,162,2003
301,F,162,2000
302,F,161,2001
303,M,183,2001
304,F,159,2004
305,M,183,2003
306,F,159,2004
307,M,179,2000
308,F,158,2003
309,F,161,2003
310,M,180,2001
311,F,159,2004
312,M,184,2004
313,M,176,2000
314,M,188,2004
315,F,160,2000
316,F,167,2001
317,M,174,2003
318,M,180,2000
319,F,164,2004
320,F,162,2001
321,M,181,2003
322,F,164,2004
323,M,177,2004
324,F,164,2001
325,M,183,2000
326,M,183,2004
327,F,163,2004
328,M,184,2003
329,M,173,2002
330,F,155,2001
331,M,180,2003
332,M,178,2001
333,M,179,2003
334,F,160,2003
335,M,180,2003
336,M,176,2002
337,F,158,2001
338,M,170,2004
339,F,155,2000
340,M,186,2004
341,M,182,2003
342,F,157,2003
343,F,163,2000
344,M,178,2002
345,F,161,2000
346,M,176,2002
347,F,163,2000
348,M,180,2004
349,F,163,2003
350,F,156,2002
351,F,161,2002
352,M,180,2001
353,F,164,2002
354,F,159,2003
355,F,159,2004
356,F,154,2001
357,F,156,2004
358,F,164,2002
359,M,176,2003
360,M,179,2000
361,M,181,2002
362,F,148,2004
363,F,157,2002
364,M,179,2003
365,F,161,2003
366,F,154,2004
367,M,179,2000
368,M,189,2001
369,M,184,2002
370,M,177,2002
371,M,177,2003
372,F,165,2002
373,F,160,2003
374,F,161,2001
375,M,179,2003
376,F,166,2002
377,F,159,2000
378,M,174,2003
379,M,182,2001
380,F,159,2001
381,F,163,2000
382,F,160,2001
383,M,178,2002
384,F,169,2001
385,M,175,2001
